condition,week,rho,lo,hi,n,indicator
online,8,0.2925105227965101,0.1862694748877077,0.3919900632173481,342,Diversity
online,9,0.29550114481612666,0.1894275491760429,0.39475708765559747,342,Diversity
online,10,0.29766438840961207,0.19171328675578997,0.3967574720769332,342,Diversity
online,11,0.29798762998109735,0.19205493065865567,0.3970562976938957,342,Diversity
in_person,1,0.24911708052945963,0.12593169644422578,0.3647367650583347,267,Diversity
in_person,2,0.3421683625099753,0.2247743985399058,0.44977151153998796,267,Diversity
in_person,3,0.3538251475933002,0.2373293453104104,0.46028829989765985,267,Diversity
in_person,4,0.34509997508129747,0.227928229008289,0.45241923313804777,267,Diversity
in_person,5,0.36504912578840737,0.2494550265059506,0.47038644962173853,267,Diversity
in_person,6,0.3721039095890729,0.2570951690241638,0.4767195107919495,267,Diversity
in_person,7,0.38433787559907434,0.2703783983984581,0.48767622550984047,267,Diversity
in_person,8,0.40534618955775875,0.29329019313904986,0.5064155854115586,267,Diversity
in_person,9,0.41171440860785014,0.3002609281024836,0.5120772267115141,267,Diversity
in_person,10,0.4106048090109626,0.2990454890047861,0.5110913683317555,267,Diversity
in_person,11,0.4140032730035888,0.3027692603671171,0.5141100047274298,267,Diversity
online,1,0.18123207487500556,0.07030041289653378,0.28773591839299595,342,IDF
online,2,0.2169897419987027,0.10724121488345839,0.3215139417622691,342,IDF
online,3,0.2631141393063662,0.15534352378088268,0.36469540076485807,342,IDF
online,4,0.2990872513085028,0.19321734634525733,0.39807270221524516,342,IDF
online,5,0.27410990259215395,0.1668867469188261,0.374925490195761,342,IDF
online,6,0.2751261260941553,0.16795505223977428,0.37586971263716096,342,IDF
online,7,0.2704262986420213,0.1630164659927846,0.3715011213374768,342,IDF
online,8,0.2636617750267805,0.15591772979562749,0.3652054836118966,342,IDF
online,9,0.2623131601918736,0.15450381373903782,0.36394923715420013,342,IDF
online,10,0.2694354244790367,0.16197594039165564,0.37057951073485895,342,IDF
online,11,0.27584400737542153,0.16870987694541953,0.37653660482033346,342,IDF
in_person,1,0.2440286796471754,0.12059621976592413,0.36003044937489403,267,IDF
in_person,2,0.3175327296418066,0.19836819686017595,0.42744656200490655,267,IDF
in_person,3,0.32832989026470194,0.20992009677420811,0.4372475394344404,267,IDF
in_person,4,0.3115125213743754,0.1919415101488336,0.4219705564895408,267,IDF
in_person,5,0.342013901202454,0.22460829716008807,0.449631955459861,267,IDF
in_person,6,0.34863745425069287,0.2317371272788264,0.45561163364493334,267,IDF
in_person,7,0.3595345418827397,0.2434928833150372,0.46542845460926446,267,IDF
in_person,8,0.38396716846102324,0.2699752586058122,0.48734469854008783,267,IDF
in_person,9,0.4016722170288598,0.2892740277849364,0.5031452851407214,267,IDF
in_person,10,0.40001096990511054,0.28745935073834017,0.5016656103173976,267,IDF
in_person,11,0.40924428859614254,0.2975556887902358,0.509882210579785,267,IDF
