week,indicator,condition,slope,lo,hi
4,Immediacy,hybrid,-0.04954481744885664,-2.762889178250023,2.66379954335231
4,Immediacy,in_person,-0.500205490610196,-2.7268579501642627,1.7264469689438708
4,Diversity,online,2.4417314648150494,0.20548088424234479,4.677982045387754
4,Diversity,hybrid,1.3731865412577717,-1.5225943270868398,4.268967409602383
4,Diversity,in_person,0.7425833272048457,-1.761441971766316,3.246608626176007
5,Frequency,online,1.450818823319986,-0.6841985898553822,3.585836236495354
5,Frequency,hybrid,1.0338037761155183,-1.8816360248299642,3.949243577061001
5,Frequency,in_person,2.2749932429299204,-0.356235874877167,4.906222360737008
5,Immediacy,online,-0.14005157478456168,-2.0697449778423307,1.7896418282732074
5,Immediacy,hybrid,0.16867728628419695,-2.538019224742976,2.87537379731137
5,Immediacy,in_person,-0.4184755649730083,-2.69261137212053,1.8556602421745132
5,Diversity,online,2.4978148302317535,0.23485116367885706,4.76077849678465
5,Diversity,hybrid,1.2391806253402002,-1.6455886617892754,4.123949912469676
5,Diversity,in_person,0.5268041633940392,-1.985401935344956,3.0390102621330346
6,Frequency,online,1.02129015280384,-1.1457033414607218,3.1882836470684017
6,Frequency,hybrid,1.2719352779783983,-1.8048482048379266,4.348718760794723
6,Frequency,in_person,1.8488339809835348,-0.786115958432227,4.483783920399297
6,Immediacy,online,0.44047562686529373,-1.5996628032291684,2.4806140569597557
6,Immediacy,hybrid,-0.48728999073967116,-3.2697076973506958,2.2951277158713532
6,Immediacy,in_person,-0.41171745149568373,-2.862502370922769,2.0390674679314014
6,Diversity,online,2.390772505281104,0.030470487602413332,4.7510745229597955
6,Diversity,hybrid,1.5531420871476997,-1.4147386209545434,4.521022795249943
6,Diversity,in_person,0.8562694921003189,-1.6923835195565498,3.4049225037571875
7,Frequency,online,0.8675817405586508,-1.2731125928828173,3.008276074000119
7,Frequency,hybrid,1.0869764838353497,-1.9959176306970516,4.169870598367751
7,Frequency,in_person,1.3556478532508565,-1.2422310466987039,3.953526753200417
7,Immediacy,online,0.41670007105861007,-1.640667495001495,2.4740676371187154
7,Immediacy,hybrid,-0.1745229074272543,-3.0265196301380612,2.6774738152835527
7,Immediacy,in_person,0.17129359895191493,-2.2733053807211756,2.615892578625006
7,Diversity,online,2.490230716843738,0.14835167457226017,4.832109759115216
7,Diversity,hybrid,1.584056599966316,-1.3976251059503055,4.565738305882938
7,Diversity,in_person,0.9238781045434767,-1.602476209100271,3.4502324181872246
8,Frequency,online,0.94828911000829,-1.239509941831872,3.136088161848452
8,Frequency,hybrid,1.3374506370806583,-1.7972694115161472,4.4721706856774635
8,Frequency,in_person,1.5144166424433885,-1.2553506793535911,4.284183964240368
8,Immediacy,online,0.4853120996737519,-1.6165709325021647,2.5871951318496684
8,Immediacy,hybrid,-0.07865597566872828,-3.0135438289664265,2.8562318776289697
8,Immediacy,in_person,0.007780094083219724,-2.600101667770891,2.6156618559373306
8,Diversity,online,2.288362206128424,-0.09517864647851138,4.671903058735359
8,Diversity,hybrid,1.3423146658920033,-1.6470953739961929,4.3317247057802
8,Diversity,in_person,0.8893804625236656,-1.7028088758857014,3.4815698009330327
9,Frequency,online,0.7728201431980674,-1.4557922263503444,3.0014325127464794
9,Frequency,hybrid,1.4947839769674534,-1.6990929817417564,4.688660935676663
9,Frequency,in_person,0.7676720513315928,-2.0637222330829945,3.5990663357461803
9,Immediacy,online,0.43197241574465434,-1.6930012178500795,2.556946049339388
9,Immediacy,hybrid,-0.3992537046149894,-3.3920616464735103,2.5935542372435316
9,Immediacy,in_person,0.5734340780920104,-2.1161389437406224,3.263007099924643
9,Diversity,online,2.521723367369979,0.11415823953285864,4.9292884952071
9,Diversity,hybrid,1.4561625045162148,-1.6060751437541334,4.518400152786563
9,Diversity,in_person,1.1689423277739934,-1.4983944592643124,3.8362791148122994
10,Frequency,online,0.5423942799693754,-1.7238088093557917,2.8085973692945427
10,Frequency,hybrid,1.3347172988199278,-1.9308652731375342,4.6002998707773894
10,Frequency,in_person,0.6118229405275004,-2.202340145151095,3.425986026206096
10,Immediacy,online,0.8826850081553446,-1.2792197497698188,3.0445897660805077
10,Immediacy,hybrid,-0.013278470542617105,-3.0992410061670905,3.0726840650818565
10,Immediacy,in_person,0.26570185595633733,-2.5303533571154757,3.0617570690281504
10,Diversity,online,2.5039566135432896,0.07389965442314983,4.93401357266343
10,Diversity,hybrid,1.3943573451037155,-1.6320004102521704,4.420715100459601
10,Diversity,in_person,1.7486748348385963,-0.9491611118390453,4.446510781516238
11,Frequency,online,-0.15810154026665044,-2.303087783927983,1.9868847033946824
11,Frequency,hybrid,0.6100112670140851,-2.5381740240965383,3.7581965581247085
11,Frequency,in_person,0.08313380709683788,-2.740459281705477,2.906726895899153
11,Immediacy,online,1.346390525136451,-0.7527532687621743,3.445534319035076
11,Immediacy,hybrid,0.7679486497748002,-2.3103105094384944,3.846207808988095
11,Immediacy,in_person,1.0245615690414147,-1.8755799250142284,3.924703063097058
11,Diversity,online,2.868356310866702,0.585632662271049,5.151079959462355
11,Diversity,hybrid,1.2494067710362877,-1.7892942200066648,4.288107762079241
11,Diversity,in_person,1.6371207848003364,-1.0879418040331907,4.362183373633863
