cohort_id,condition,module,week,rho,lo,hi,n,indicator
STAT0004_2122,hybrid,STAT0004,1,0.26648074923197274,0.11277455447570414,0.4077312720140066,172,Immediacy
STAT0004_2122,hybrid,STAT0004,2,0.22820347905107163,0.07235139740255703,0.3731767909549691,172,Immediacy
STAT0004_2122,hybrid,STAT0004,3,0.14686499295715827,-0.011880026898869628,0.2983889735649274,172,Immediacy
STAT0004_2122,hybrid,STAT0004,4,0.17743213609423591,0.019512239434666373,0.32671430633700893,172,Immediacy
STAT0004_2122,hybrid,STAT0004,5,0.20801300446714063,0.05123330396341952,0.35478652382442905,172,Immediacy
STAT0004_2122,hybrid,STAT0004,6,0.15925834433661912,8.102630046264471e-4,0.30990565067732145,172,Immediacy
STAT0004_2122,hybrid,STAT0004,7,0.18201532514700672,0.02424614336574636,0.33093836807913385,172,Immediacy
STAT0004_2122,hybrid,STAT0004,8,0.20047357269986346,0.04338327492805531,0.34789006950213125,172,Immediacy
STAT0004_2122,hybrid,STAT0004,9,0.17793288388795162,0.02002910964519139,0.32717610715839596,172,Immediacy
STAT0004_2122,hybrid,STAT0004,10,0.20492746658647562,0.048018309500247984,0.35196605602915065,172,Immediacy
STAT0004_2122,hybrid,STAT0004,11,0.21111598528304448,0.05446975366724599,0.35762024449950003,172,Immediacy
STAT0004_2223,in_person,STAT0004,1,0.07271530737996411,-0.07617127855516641,0.21843000989521183,197,Immediacy
STAT0004_2223,in_person,STAT0004,2,0.1350094899087413,-0.013323321028273159,0.27752807129453033,197,Immediacy
STAT0004_2223,in_person,STAT0004,3,0.16418174012741893,0.01651678740925829,0.3048376667210587,197,Immediacy
STAT0004_2223,in_person,STAT0004,4,0.1379920207103858,-0.010284586578682536,0.28033077727765077,197,Immediacy
STAT0004_2223,in_person,STAT0004,5,0.12957257016729137,-0.018855654937475787,0.27241270877320134,197,Immediacy
STAT0004_2223,in_person,STAT0004,6,0.12027478195197741,-0.02829559750109879,0.2636460707025438,197,Immediacy
STAT0004_2223,in_person,STAT0004,7,0.14168148019268814,-0.006521808820168535,0.2837944346273427,197,Immediacy
STAT0004_2223,in_person,STAT0004,8,0.13755253401126524,-0.010732527196442097,0.27991794081850213,197,Immediacy
STAT0004_2223,in_person,STAT0004,9,0.1406910353949395,-0.007532348364978277,0.2828649709948597,197,Immediacy
STAT0004_2223,in_person,STAT0004,10,0.13434496833107604,-0.01399999200892923,0.27690328488031574,197,Immediacy
STAT0004_2223,in_person,STAT0004,11,0.17029842841797296,0.02280704651587874,0.31053461927627823,197,Immediacy
STAT0002_2021,online,STAT0002,1,0.21670555931734978,0.10694642987047337,0.3212465368053445,342,Diversity
STAT0002_2021,online,STAT0002,2,0.23378750399754053,0.12470001684787811,0.33729042747743965,342,Diversity
